FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
1,2nd_san_jacinto," 18,10,13,2,3,2,7,8,13,10,32,34,30,27,35,34,38,28,37,30,40,24,23,33 ","[0.45,0.25,0.325,0.05,0.075,0.05,0.175,0.2,0.325,0.25,0.8,0.85,0.75,0.675,0.875,0.85,0.95,0.7,0.925,0.75,1,0.6,0.575,0.825]",30.2636414,-97.7417908
2,51st_manor," 23,25,18,7,6,11,33,36,60,75,72,84,103,112,108,118,86,91,92,91,90,70,46,35 ","[0.194915254237288,0.211864406779661,0.152542372881356,0.0593220338983051,0.0508474576271186,0.0932203389830508,0.279661016949153,0.305084745762712,0.508474576271186,0.635593220338983,0.610169491525424,0.711864406779661,0.872881355932203,0.949152542372881,0.915254237288136,1,0.728813559322034,0.771186440677966,0.779661016949153,0.771186440677966,0.76271186440678,0.593220338983051,0.389830508474576,0.296610169491525]",30.2981815,-97.6870575
3,51st_mueller," 13,16,17,12,8,9,30,38,63,89,114,110,122,124,104,108,89,85,108,85,51,61,34,40 ","[0.104838709677419,0.129032258064516,0.137096774193548,0.0967741935483871,0.0645161290322581,0.0725806451612903,0.241935483870968,0.306451612903226,0.508064516129032,0.717741935483871,0.919354838709677,0.887096774193548,0.983870967741935,1,0.838709677419355,0.870967741935484,0.717741935483871,0.685483870967742,0.870967741935484,0.685483870967742,0.411290322580645,0.491935483870968,0.274193548387097,0.32258064516129]",30.3057785,-97.7028351
4,51st_springdale," 25,24,16,10,9,6,26,40,73,80,96,101,124,130,139,132,119,109,102,101,89,84,44,43 ","[0.179856115107914,0.172661870503597,0.115107913669065,0.0719424460431655,0.0647482014388489,0.0431654676258993,0.18705035971223,0.287769784172662,0.525179856115108,0.575539568345324,0.690647482014389,0.726618705035971,0.892086330935252,0.935251798561151,1,0.949640287769784,0.856115107913669,0.784172661870504,0.733812949640288,0.726618705035971,0.640287769784173,0.60431654676259,0.316546762589928,0.309352517985612]",30.2936001,-97.6778107
5,51st_us183," 84,51,45,24,37,79,124,143,158,197,223,210,224,246,269,252,274,231,210,194,192,176,134,110 ","[0.306569343065693,0.186131386861314,0.164233576642336,0.0875912408759124,0.135036496350365,0.288321167883212,0.452554744525547,0.521897810218978,0.576642335766423,0.718978102189781,0.813868613138686,0.766423357664234,0.817518248175182,0.897810218978102,0.981751824817518,0.91970802919708,1,0.843065693430657,0.766423357664234,0.708029197080292,0.700729927007299,0.642335766423358,0.489051094890511,0.401459854014599]",30.2923031,-97.6636276
6,5th_red_river," 65,70,67,30,19,18,18,15,32,48,70,61,63,65,63,77,93,55,85,58,77,57,46,52 ","[0.698924731182796,0.752688172043011,0.720430107526882,0.32258064516129,0.204301075268817,0.193548387096774,0.193548387096774,0.161290322580645,0.344086021505376,0.516129032258065,0.752688172043011,0.655913978494624,0.67741935483871,0.698924731182796,0.67741935483871,0.827956989247312,1,0.591397849462366,0.913978494623656,0.623655913978495,0.827956989247312,0.612903225806452,0.494623655913978,0.559139784946237]",30.2655354,-97.7374878
7,5th_trinity," 53,65,60,28,14,19,17,18,40,50,63,67,53,57,67,76,71,63,69,57,80,67,64,58 ","[0.6625,0.8125,0.75,0.35,0.175,0.2375,0.2125,0.225,0.5,0.625,0.7875,0.8375,0.6625,0.7125,0.8375,0.95,0.8875,0.7875,0.8625,0.7125,1,0.8375,0.8,0.725]",30.2661324,-97.7396774
8,6th_campbell," 22,20,23,11,2,2,11,9,37,51,65,65,59,70,68,66,67,54,49,36,45,50,46,40 ","[0.314285714285714,0.285714285714286,0.328571428571429,0.157142857142857,0.0285714285714286,0.0285714285714286,0.157142857142857,0.128571428571429,0.528571428571429,0.728571428571429,0.928571428571429,0.928571428571429,0.842857142857143,1,0.971428571428571,0.942857142857143,0.957142857142857,0.771428571428571,0.7,0.514285714285714,0.642857142857143,0.714285714285714,0.657142857142857,0.571428571428571]",30.2757683,-97.7642212
9,6th_ih35," 79,64,103,55,35,40,44,57,85,109,105,124,119,118,120,124,158,101,117,108,98,105,104,97 ","[0.5,0.40506329113924,0.651898734177215,0.348101265822785,0.221518987341772,0.253164556962025,0.278481012658228,0.360759493670886,0.537974683544304,0.689873417721519,0.664556962025316,0.784810126582278,0.753164556962025,0.746835443037975,0.759493670886076,0.784810126582278,1,0.639240506329114,0.740506329113924,0.683544303797468,0.620253164556962,0.664556962025316,0.658227848101266,0.613924050632911]",30.2658806,-97.7350006
10,7th_chicon," 43,36,47,18,21,11,21,75,90,86,115,144,134,148,118,111,114,112,103,95,98,89,72,52 ","[0.290540540540541,0.243243243243243,0.317567567567568,0.121621621621622,0.141891891891892,0.0743243243243243,0.141891891891892,0.506756756756757,0.608108108108108,0.581081081081081,0.777027027027027,0.972972972972973,0.905405405405405,1,0.797297297297297,0.75,0.77027027027027,0.756756756756757,0.695945945945946,0.641891891891892,0.662162162162162,0.601351351351351,0.486486486486487,0.351351351351351]",30.2625771,-97.7221146
