FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
1,51st_manor," 17,10,8,9,5,18,50,90,80,76,87,80,95,98,86,112,126,139,112,80,68,71,34,31 ","[0.122302158273381,0.0719424460431655,0.0575539568345324,0.0647482014388489,0.0359712230215827,0.129496402877698,0.359712230215827,0.647482014388489,0.575539568345324,0.546762589928058,0.62589928057554,0.575539568345324,0.683453237410072,0.705035971223022,0.618705035971223,0.805755395683453,0.906474820143885,1,0.805755395683453,0.575539568345324,0.489208633093525,0.510791366906475,0.244604316546763,0.223021582733813]",30.2981815,-97.6870575
2,51st_mueller," 12,15,10,9,10,22,54,89,108,82,91,89,93,109,100,130,109,131,115,80,75,61,36,22 ","[0.0916030534351145,0.114503816793893,0.0763358778625954,0.0687022900763359,0.0763358778625954,0.16793893129771,0.412213740458015,0.679389312977099,0.824427480916031,0.625954198473282,0.694656488549618,0.679389312977099,0.709923664122137,0.83206106870229,0.763358778625954,0.99236641221374,0.83206106870229,1,0.877862595419847,0.610687022900763,0.572519083969466,0.465648854961832,0.274809160305344,0.16793893129771]",30.3057785,-97.7028351
3,51st_springdale," 13,10,8,8,8,24,65,106,104,77,73,74,85,102,86,134,156,160,130,111,73,96,49,28 ","[0.08125,0.0625,0.05,0.05,0.05,0.15,0.40625,0.6625,0.65,0.48125,0.45625,0.4625,0.53125,0.6375,0.5375,0.8375,0.975,1,0.8125,0.69375,0.45625,0.6,0.30625,0.175]",30.2936001,-97.6778107
4,51st_us183," 54,36,27,34,80,121,235,271,275,271,217,234,231,264,260,292,293,259,268,227,144,162,119,79 ","[0.184300341296928,0.122866894197952,0.0921501706484642,0.116040955631399,0.273037542662116,0.41296928327645,0.802047781569966,0.924914675767918,0.938566552901024,0.924914675767918,0.74061433447099,0.798634812286689,0.78839590443686,0.901023890784983,0.887372013651877,0.996587030716723,1,0.883959044368601,0.914675767918089,0.774744027303754,0.491467576791809,0.552901023890785,0.406143344709898,0.26962457337884]",30.2923031,-97.6636276
5,5th_red_river," 30,19,24,10,13,18,30,43,49,49,70,52,62,72,61,65,86,99,65,44,50,38,44,51 ","[0.303030303030303,0.191919191919192,0.242424242424242,0.101010101010101,0.131313131313131,0.181818181818182,0.303030303030303,0.434343434343434,0.494949494949495,0.494949494949495,0.707070707070707,0.525252525252525,0.626262626262626,0.727272727272727,0.616161616161616,0.656565656565657,0.868686868686869,1,0.656565656565657,0.444444444444444,0.505050505050505,0.383838383838384,0.444444444444444,0.515151515151515]",30.2655354,-97.7374878
6,5th_trinity," 33,18,25,11,17,16,35,35,49,47,66,56,63,71,52,66,87,91,63,52,57,49,54,49 ","[0.362637362637363,0.197802197802198,0.274725274725275,0.120879120879121,0.186813186813187,0.175824175824176,0.384615384615385,0.384615384615385,0.538461538461538,0.516483516483517,0.725274725274725,0.615384615384615,0.692307692307692,0.78021978021978,0.571428571428571,0.725274725274725,0.956043956043956,1,0.692307692307692,0.571428571428571,0.626373626373626,0.538461538461538,0.593406593406593,0.538461538461538]",30.2661324,-97.7396774
7,6th_campbell," 16,12,7,1,NA,6,10,44,80,82,71,76,79,108,80,71,76,92,65,74,68,49,33,19 ","[0.148148148148148,0.111111111111111,0.0648148148148148,0.00925925925925926,NA,0.0555555555555556,0.0925925925925926,0.407407407407407,0.740740740740741,0.759259259259259,0.657407407407407,0.703703703703704,0.731481481481482,1,0.740740740740741,0.657407407407407,0.703703703703704,0.851851851851852,0.601851851851852,0.685185185185185,0.62962962962963,0.453703703703704,0.305555555555556,0.175925925925926]",30.2757683,-97.7642212
8,6th_ih35," 60,56,45,37,55,71,94,113,139,148,135,152,152,136,143,161,177,165,154,139,124,146,123,140 ","[0.338983050847458,0.31638418079096,0.254237288135593,0.209039548022599,0.310734463276836,0.401129943502825,0.531073446327684,0.638418079096045,0.785310734463277,0.836158192090395,0.76271186440678,0.858757062146893,0.858757062146893,0.768361581920904,0.807909604519774,0.909604519774011,1,0.932203389830508,0.870056497175141,0.785310734463277,0.700564971751412,0.824858757062147,0.694915254237288,0.790960451977401]",30.2658806,-97.7350006
9,7th_chicon," 20,16,21,9,21,34,62,142,143,134,114,147,146,137,127,143,127,162,111,98,80,71,61,55 ","[0.123456790123457,0.0987654320987654,0.12962962962963,0.0555555555555556,0.12962962962963,0.209876543209877,0.382716049382716,0.876543209876543,0.882716049382716,0.827160493827161,0.703703703703704,0.907407407407407,0.901234567901235,0.845679012345679,0.783950617283951,0.882716049382716,0.783950617283951,1,0.685185185185185,0.604938271604938,0.493827160493827,0.438271604938272,0.376543209876543,0.339506172839506]",30.2625771,-97.7221146
10,7th_shady," 12,8,12,9,15,25,64,106,102,83,90,94,85,83,89,105,115,103,91,48,54,39,40,26 ","[0.104347826086957,0.0695652173913043,0.104347826086957,0.0782608695652174,0.130434782608696,0.217391304347826,0.556521739130435,0.921739130434783,0.88695652173913,0.721739130434783,0.782608695652174,0.817391304347826,0.739130434782609,0.721739130434783,0.773913043478261,0.91304347826087,1,0.895652173913044,0.791304347826087,0.417391304347826,0.469565217391304,0.339130434782609,0.347826086956522,0.226086956521739]",30.2533531,-97.6975708
11,anderson_mill_bethany," 18,8,7,4,7,25,60,103,105,144,72,104,103,102,126,103,136,130,120,97,54,48,29,19 ","[0.125,0.0555555555555556,0.0486111111111111,0.0277777777777778,0.0486111111111111,0.173611111111111,0.416666666666667,0.715277777777778,0.729166666666667,1,0.5,0.722222222222222,0.715277777777778,0.708333333333333,0.875,0.715277777777778,0.944444444444444,0.902777777777778,0.833333333333333,0.673611111111111,0.375,0.333333333333333,0.201388888888889,0.131944444444444]",30.4469604,-97.7977066
12,bartonsprings_robertelee," 12,8,6,7,6,11,33,105,131,107,83,113,119,126,105,132,135,165,142,115,97,41,48,34 ","[0.0727272727272727,0.0484848484848485,0.0363636363636364,0.0424242424242424,0.0363636363636364,0.0666666666666667,0.2,0.636363636363636,0.793939393939394,0.648484848484848,0.503030303030303,0.684848484848485,0.721212121212121,0.763636363636364,0.636363636363636,0.8,0.818181818181818,1,0.860606060606061,0.696969696969697,0.587878787878788,0.248484848484848,0.290909090909091,0.206060606060606]",30.2647686,-97.7649841
13,benWhite_riverside," 27,29,17,22,27,73,174,220,183,178,122,155,151,160,158,177,238,212,182,135,112,85,99,52 ","[0.113445378151261,0.121848739495798,0.0714285714285714,0.092436974789916,0.113445378151261,0.30672268907563,0.73109243697479,0.92436974789916,0.76890756302521,0.747899159663866,0.512605042016807,0.651260504201681,0.634453781512605,0.672268907563025,0.663865546218487,0.743697478991597,1,0.890756302521008,0.764705882352941,0.567226890756303,0.470588235294118,0.357142857142857,0.415966386554622,0.218487394957983]",30.21883,-97.69118
14,burleson_emma_browning," 4,5,2,2,10,31,78,112,74,50,42,50,39,59,51,55,95,82,74,51,52,38,28,15 ","[0.0357142857142857,0.0446428571428571,0.0178571428571429,0.0178571428571429,0.0892857142857143,0.276785714285714,0.696428571428571,1,0.660714285714286,0.446428571428571,0.375,0.446428571428571,0.348214285714286,0.526785714285714,0.455357142857143,0.491071428571429,0.848214285714286,0.732142857142857,0.660714285714286,0.455357142857143,0.464285714285714,0.339285714285714,0.25,0.133928571428571]",30.1731625,-97.6705399
15,burnet_45th," 9,8,6,6,6,14,34,116,173,144,116,137,128,139,133,145,155,194,133,99,81,77,63,12 ","[0.0463917525773196,0.0412371134020619,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0721649484536082,0.175257731958763,0.597938144329897,0.891752577319588,0.742268041237113,0.597938144329897,0.706185567010309,0.65979381443299,0.716494845360825,0.685567010309278,0.747422680412371,0.798969072164949,1,0.685567010309278,0.510309278350515,0.417525773195876,0.396907216494845,0.324742268041237,0.0618556701030928]",30.3154011,-97.7415695
16,burnet_anderson," 18,14,5,4,13,15,45,167,223,148,146,169,215,204,197,214,203,211,192,148,100,97,76,42 ","[0.0807174887892377,0.062780269058296,0.0224215246636771,0.0179372197309417,0.0582959641255605,0.0672645739910314,0.201793721973094,0.748878923766816,1,0.663677130044843,0.654708520179372,0.757847533632287,0.964125560538117,0.914798206278027,0.883408071748879,0.959641255605381,0.910313901345291,0.946188340807175,0.860986547085202,0.663677130044843,0.448430493273543,0.434977578475336,0.340807174887892,0.188340807174888]",30.3561535,-97.730896
17,burnet_braker," 20,13,22,11,22,51,131,222,240,180,170,169,260,240,231,239,275,273,211,146,122,91,55,47 ","[0.0727272727272727,0.0472727272727273,0.08,0.04,0.08,0.185454545454545,0.476363636363636,0.807272727272727,0.872727272727273,0.654545454545455,0.618181818181818,0.614545454545455,0.945454545454545,0.872727272727273,0.84,0.869090909090909,1,0.992727272727273,0.767272727272727,0.530909090909091,0.443636363636364,0.330909090909091,0.2,0.170909090909091]",30.3911648,-97.7218094
18,burnet_duval_loop1," 21,16,18,9,11,29,90,138,156,164,136,124,134,137,112,134,186,191,160,87,64,58,67,35 ","[0.109947643979058,0.0837696335078534,0.0942408376963351,0.0471204188481675,0.0575916230366492,0.151832460732984,0.471204188481675,0.722513089005236,0.816753926701571,0.858638743455497,0.712041884816754,0.649214659685864,0.701570680628272,0.717277486910995,0.586387434554974,0.701570680628272,0.973821989528796,1,0.837696335078534,0.455497382198953,0.335078534031414,0.303664921465969,0.350785340314136,0.183246073298429]",30.4078178,-97.7158508
19,burnet_koenig," 11,11,8,13,9,33,85,206,232,191,183,189,197,189,215,188,222,224,190,154,90,98,84,40 ","[0.0474137931034483,0.0474137931034483,0.0344827586206897,0.0560344827586207,0.0387931034482759,0.142241379310345,0.366379310344828,0.887931034482759,1,0.823275862068966,0.788793103448276,0.814655172413793,0.849137931034483,0.814655172413793,0.926724137931034,0.810344827586207,0.956896551724138,0.96551724137931,0.818965517241379,0.663793103448276,0.387931034482759,0.422413793103448,0.362068965517241,0.172413793103448]",30.3348522,-97.7398224
20,burnet_us183," 40,30,25,22,33,78,169,268,291,266,215,254,312,303,262,268,304,298,257,168,120,115,103,80 ","[0.128205128205128,0.0961538461538462,0.0801282051282051,0.0705128205128205,0.105769230769231,0.25,0.541666666666667,0.858974358974359,0.932692307692308,0.852564102564103,0.689102564102564,0.814102564102564,1,0.971153846153846,0.83974358974359,0.858974358974359,0.974358974358974,0.955128205128205,0.823717948717949,0.538461538461538,0.384615384615385,0.368589743589744,0.330128205128205,0.256410256410256]",30.3728848,-97.7264786
21,cap_tx_hwy_courtyard," 12,6,4,6,9,42,135,242,253,217,231,191,214,219,252,229,295,259,229,151,92,75,60,58 ","[0.0406779661016949,0.0203389830508475,0.0135593220338983,0.0203389830508475,0.0305084745762712,0.142372881355932,0.457627118644068,0.820338983050847,0.857627118644068,0.735593220338983,0.783050847457627,0.647457627118644,0.725423728813559,0.742372881355932,0.854237288135593,0.776271186440678,1,0.877966101694915,0.776271186440678,0.511864406779661,0.311864406779661,0.254237288135593,0.203389830508475,0.196610169491525]",30.352457,-97.7952881
22,cap_tx_hwy_lakewood," 3,9,46,149,197,169,137,142,151,151,181,177,185,202,219,180,81,65,64,52,30,12,11,7 ","[0.0136986301369863,0.0410958904109589,0.210045662100457,0.680365296803653,0.899543378995434,0.771689497716895,0.625570776255708,0.648401826484018,0.689497716894977,0.689497716894977,0.82648401826484,0.808219178082192,0.844748858447489,0.922374429223744,1,0.821917808219178,0.36986301369863,0.296803652968037,0.292237442922374,0.237442922374429,0.136986301369863,0.0547945205479452,0.0502283105022831,0.0319634703196347]",30.3716736,-97.7856598
23,cap_tx_hwy_loop1_nbsr," 25,14,9,10,19,82,178,280,275,282,250,281,286,285,285,280,295,252,265,211,128,133,101,53 ","[0.0847457627118644,0.0474576271186441,0.0305084745762712,0.0338983050847458,0.0644067796610169,0.277966101694915,0.603389830508475,0.949152542372881,0.932203389830508,0.955932203389831,0.847457627118644,0.952542372881356,0.969491525423729,0.966101694915254,0.966101694915254,0.949152542372881,1,0.854237288135593,0.898305084745763,0.715254237288136,0.433898305084746,0.450847457627119,0.342372881355932,0.179661016949153]",30.2477283,-97.8040085
24,cap_tx_hwy_spicewood_springs_north," 14,5,3,3,6,29,114,237,192,184,200,172,187,206,235,203,243,268,246,143,107,76,60,46 ","[0.0522388059701493,0.0186567164179104,0.0111940298507463,0.0111940298507463,0.0223880597014925,0.108208955223881,0.425373134328358,0.884328358208955,0.716417910447761,0.686567164179104,0.746268656716418,0.641791044776119,0.697761194029851,0.76865671641791,0.876865671641791,0.757462686567164,0.906716417910448,1,0.917910447761194,0.533582089552239,0.399253731343284,0.283582089552239,0.223880597014925,0.171641791044776]",30.3850155,-97.7667313
25,cap_tx_hwy_westgate," 35,11,8,11,25,79,177,243,267,284,251,276,274,300,290,290,308,272,295,229,148,133,95,45 ","[0.113636363636364,0.0357142857142857,0.025974025974026,0.0357142857142857,0.0811688311688312,0.256493506493506,0.574675324675325,0.788961038961039,0.866883116883117,0.922077922077922,0.814935064935065,0.896103896103896,0.88961038961039,0.974025974025974,0.941558441558442,0.941558441558442,1,0.883116883116883,0.957792207792208,0.743506493506494,0.480519480519481,0.431818181818182,0.308441558441558,0.146103896103896]",30.2421951,-97.8011093
26,cap_tx_hwy_westlake," 10,5,4,2,8,45,125,203,231,197,195,188,219,223,235,228,255,247,202,162,95,70,59,41 ","[0.0392156862745098,0.0196078431372549,0.0156862745098039,0.00784313725490196,0.0313725490196078,0.176470588235294,0.490196078431373,0.796078431372549,0.905882352941176,0.772549019607843,0.764705882352941,0.737254901960784,0.858823529411765,0.874509803921569,0.92156862745098,0.894117647058824,1,0.968627450980392,0.792156862745098,0.635294117647059,0.372549019607843,0.274509803921569,0.231372549019608,0.16078431372549]",30.3352509,-97.8062515
27,cesar_chavez_br_reynolds," 13,16,9,5,9,26,61,153,175,174,136,146,151,170,141,167,170,167,162,143,89,86,89,28 ","[0.0742857142857143,0.0914285714285714,0.0514285714285714,0.0285714285714286,0.0514285714285714,0.148571428571429,0.348571428571429,0.874285714285714,1,0.994285714285714,0.777142857142857,0.834285714285714,0.862857142857143,0.971428571428571,0.805714285714286,0.954285714285714,0.971428571428571,0.954285714285714,0.925714285714286,0.817142857142857,0.508571428571429,0.491428571428571,0.508571428571429,0.16]",30.266964,-97.7570953
28,cesar_chavez_ih_35," 94,75,63,64,73,125,138,217,228,213,276,248,281,304,315,294,271,243,230,245,174,152,150,162 ","[0.298412698412698,0.238095238095238,0.2,0.203174603174603,0.231746031746032,0.396825396825397,0.438095238095238,0.688888888888889,0.723809523809524,0.676190476190476,0.876190476190476,0.787301587301587,0.892063492063492,0.965079365079365,1,0.933333333333333,0.86031746031746,0.771428571428571,0.73015873015873,0.777777777777778,0.552380952380952,0.482539682539683,0.476190476190476,0.514285714285714]",30.2612305,-97.736763
