FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
1,51st_manor," 36,13,16,8,7,10,24,39,52,82,80,93,93,97,98,73,90,97,74,75,73,63,52,33 ","[0.36734693877551,0.13265306122449,0.163265306122449,0.0816326530612245,0.0714285714285714,0.102040816326531,0.244897959183673,0.397959183673469,0.530612244897959,0.836734693877551,0.816326530612245,0.948979591836735,0.948979591836735,0.989795918367347,1,0.744897959183674,0.918367346938776,0.989795918367347,0.755102040816326,0.76530612244898,0.744897959183674,0.642857142857143,0.530612244897959,0.336734693877551]",30.2981815,-97.6870575
2,51st_mueller," 13,21,15,14,8,7,21,27,56,70,93,100,110,132,108,89,81,89,89,80,69,60,30,30 ","[0.0984848484848485,0.159090909090909,0.113636363636364,0.106060606060606,0.0606060606060606,0.053030303030303,0.159090909090909,0.204545454545455,0.424242424242424,0.53030303030303,0.704545454545455,0.757575757575758,0.833333333333333,1,0.818181818181818,0.674242424242424,0.613636363636364,0.674242424242424,0.674242424242424,0.606060606060606,0.522727272727273,0.454545454545455,0.227272727272727,0.227272727272727]",30.3057785,-97.7028351
3,51st_springdale," 28,14,13,8,7,9,18,43,51,64,73,86,90,86,90,92,102,102,92,84,100,59,57,31 ","[0.274509803921569,0.137254901960784,0.127450980392157,0.0784313725490196,0.0686274509803922,0.0882352941176471,0.176470588235294,0.42156862745098,0.5,0.627450980392157,0.715686274509804,0.843137254901961,0.882352941176471,0.843137254901961,0.882352941176471,0.901960784313726,1,1,0.901960784313726,0.823529411764706,0.980392156862745,0.57843137254902,0.558823529411765,0.303921568627451]",30.2936001,-97.6778107
4,51st_us183," 76,62,62,48,46,65,116,119,146,148,179,191,211,218,226,194,182,201,206,174,167,134,134,116 ","[0.336283185840708,0.274336283185841,0.274336283185841,0.212389380530973,0.20353982300885,0.287610619469027,0.513274336283186,0.526548672566372,0.646017699115044,0.654867256637168,0.792035398230089,0.845132743362832,0.933628318584071,0.964601769911504,1,0.858407079646018,0.805309734513274,0.889380530973451,0.911504424778761,0.769911504424779,0.738938053097345,0.592920353982301,0.592920353982301,0.513274336283186]",30.2923031,-97.6636276
5,5th_red_river," 82,42,84,36,12,12,7,17,27,25,31,46,57,58,54,54,50,64,62,62,66,67,71,79 ","[0.976190476190476,0.5,1,0.428571428571429,0.142857142857143,0.142857142857143,0.0833333333333333,0.202380952380952,0.321428571428571,0.297619047619048,0.369047619047619,0.547619047619048,0.678571428571429,0.69047619047619,0.642857142857143,0.642857142857143,0.595238095238095,0.761904761904762,0.738095238095238,0.738095238095238,0.785714285714286,0.797619047619048,0.845238095238095,0.94047619047619]",30.2655354,-97.7374878
6,5th_trinity," 63,38,61,29,14,10,14,11,18,25,32,41,45,54,53,54,49,46,72,64,71,83,63,66 ","[0.759036144578313,0.457831325301205,0.734939759036145,0.349397590361446,0.168674698795181,0.120481927710843,0.168674698795181,0.132530120481928,0.216867469879518,0.301204819277108,0.385542168674699,0.493975903614458,0.542168674698795,0.650602409638554,0.63855421686747,0.650602409638554,0.590361445783133,0.55421686746988,0.867469879518072,0.771084337349398,0.855421686746988,1,0.759036144578313,0.795180722891566]",30.2661324,-97.7396774
7,6th_campbell," 22,22,22,14,6,4,4,14,24,60,58,67,59,76,77,73,67,48,53,57,42,43,42,32 ","[0.285714285714286,0.285714285714286,0.285714285714286,0.181818181818182,0.0779220779220779,0.051948051948052,0.051948051948052,0.181818181818182,0.311688311688312,0.779220779220779,0.753246753246753,0.87012987012987,0.766233766233766,0.987012987012987,1,0.948051948051948,0.87012987012987,0.623376623376623,0.688311688311688,0.74025974025974,0.545454545454545,0.558441558441558,0.545454545454545,0.415584415584416]",30.2757683,-97.7642212
8,6th_ih35," 98,89,103,56,37,41,51,70,88,104,107,130,134,99,137,124,132,123,119,134,117,112,106,109 ","[0.715328467153285,0.64963503649635,0.751824817518248,0.408759124087591,0.27007299270073,0.299270072992701,0.372262773722628,0.510948905109489,0.642335766423358,0.759124087591241,0.781021897810219,0.948905109489051,0.978102189781022,0.722627737226277,1,0.905109489051095,0.963503649635037,0.897810218978102,0.868613138686131,0.978102189781022,0.854014598540146,0.817518248175182,0.773722627737226,0.795620437956204]",30.2658806,-97.7350006
9,7th_chicon," 38,34,40,27,25,20,34,39,57,83,80,115,107,89,101,108,86,103,74,103,77,76,59,52 ","[0.330434782608696,0.295652173913043,0.347826086956522,0.234782608695652,0.217391304347826,0.173913043478261,0.295652173913043,0.339130434782609,0.495652173913044,0.721739130434783,0.695652173913043,1,0.930434782608696,0.773913043478261,0.878260869565217,0.939130434782609,0.747826086956522,0.895652173913044,0.643478260869565,0.895652173913044,0.669565217391304,0.660869565217391,0.51304347826087,0.452173913043478]",30.2625771,-97.7221146
10,7th_shady," 22,23,18,17,15,16,24,32,32,47,66,71,57,46,44,59,46,55,34,43,30,45,30,29 ","[0.309859154929577,0.323943661971831,0.253521126760563,0.23943661971831,0.211267605633803,0.225352112676056,0.338028169014085,0.450704225352113,0.450704225352113,0.661971830985915,0.929577464788732,1,0.802816901408451,0.647887323943662,0.619718309859155,0.830985915492958,0.647887323943662,0.774647887323944,0.47887323943662,0.605633802816901,0.422535211267606,0.633802816901408,0.422535211267606,0.408450704225352]",30.2533531,-97.6975708
